"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN compact  CAN-1","389","20:55:05.055","      ","65D","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","390","20:55:05.055","      ","65E","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","391","20:55:05.265","      ","65E","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","392","20:55:05.266","      ","65F","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","393","20:55:05.475","      ","65F","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","394","20:55:05.475","      ","660","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","395","20:55:05.685","      ","660","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","396","20:55:05.685","      ","661","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","397","20:55:05.895","      ","661","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","398","20:55:05.895","      ","662","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","399","20:55:06.105","      ","662","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","400","20:55:06.105","      ","663","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","401","20:55:06.315","      ","663","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","402","20:55:06.315","      ","664","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","403","20:55:06.525","      ","664","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","404","20:55:06.525","      ","665","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","405","20:55:06.735","      ","665","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","406","20:55:06.736","      ","666","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","407","20:55:06.945","      ","666","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","408","20:55:06.945","      ","667","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","409","20:55:07.155","      ","667","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","410","20:55:07.156","      ","668","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","411","20:55:07.365","      ","668","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","412","20:55:07.365","      ","669","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","413","20:55:07.575","      ","669","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","414","20:55:07.576","      ","66A","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","415","20:55:07.784","      ","66A","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","416","20:55:07.785","      ","66B","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","417","20:55:07.994","      ","66B","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","418","20:55:07.995","      ","66C","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","419","20:55:08.204","      ","66C","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","420","20:55:08.205","      ","66D","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","421","20:55:08.414","      ","66D","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","422","20:55:08.415","      ","66E","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","423","20:55:08.624","      ","66E","8","80 00 00 00 00 00 04 05","........"
