"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN compact  CAN-1","121","20:54:45.699","      ","581","8","43 01 1A 02 20 00 64 60","C... .d`"
"USB-to-CAN compact  CAN-1","122","20:54:45.699","      ","601","8","40 02 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","123","20:54:45.700","      ","581","8","43 02 18 01 81 03 00 40","C......@"
"USB-to-CAN compact  CAN-1","124","20:54:45.700","      ","601","8","40 02 18 02 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","125","20:54:45.701","      ","581","8","4F 02 18 02 FF 03 00 00","O......."
"USB-to-CAN compact  CAN-1","126","20:54:45.701","      ","601","8","40 02 18 03 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","127","20:54:45.702","      ","581","8","4B 02 18 03 00 00 00 00","K......."
"USB-to-CAN compact  CAN-1","128","20:54:45.702","      ","601","8","40 02 18 05 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","129","20:54:45.703","      ","581","8","4B 02 18 05 64 00 00 00","K...d..."
"USB-to-CAN compact  CAN-1","130","20:54:45.703","      ","601","8","40 02 1A 00 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","131","20:54:45.704","      ","581","8","4F 02 1A 00 02 00 00 00","O......."
"USB-to-CAN compact  CAN-1","132","20:54:45.704","      ","601","8","40 02 1A 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","133","20:54:45.705","      ","581","8","43 02 1A 01 10 00 41 60","C.....A`"
"USB-to-CAN compact  CAN-1","134","20:54:45.705","      ","601","8","40 02 1A 02 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","135","20:54:45.706","      ","581","8","43 02 1A 02 20 00 6C 60","C... .l`"
"USB-to-CAN compact  CAN-1","136","20:54:45.706","      ","601","8","40 03 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","137","20:54:45.707","      ","581","8","43 03 18 01 81 04 00 40","C......@"
"USB-to-CAN compact  CAN-1","138","20:54:45.707","      ","601","8","40 03 18 02 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","139","20:54:45.708","      ","581","8","4F 03 18 02 FF 04 00 00","O......."
"USB-to-CAN compact  CAN-1","140","20:54:45.708","      ","601","8","40 03 18 03 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","141","20:54:45.709","      ","581","8","4B 03 18 03 00 00 00 00","K......."
"USB-to-CAN compact  CAN-1","142","20:54:45.709","      ","601","8","40 03 18 05 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","143","20:54:45.710","      ","581","8","4B 03 18 05 64 00 00 00","K...d..."
"USB-to-CAN compact  CAN-1","144","20:54:45.710","      ","601","8","40 03 1A 00 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","145","20:54:45.711","      ","581","8","4F 03 1A 00 02 00 00 00","O......."
"USB-to-CAN compact  CAN-1","146","20:54:45.712","      ","601","8","40 03 1A 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","147","20:54:45.713","      ","581","8","43 03 1A 01 10 00 41 60","C.....A`"
"USB-to-CAN compact  CAN-1","148","20:54:45.713","      ","601","8","40 03 1A 02 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","149","20:54:45.714","      ","581","8","43 03 1A 02 20 00 6C 60","C... .l`"
"USB-to-CAN compact  CAN-1","150","20:54:45.714","      ","601","8","40 04 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","151","20:54:45.715","      ","581","8","80 04 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","152","20:54:45.716","      ","601","8","40 05 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","153","20:54:45.717","      ","581","8","80 05 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","154","20:54:45.717","      ","601","8","40 06 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","155","20:54:45.718","      ","581","8","80 06 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","156","20:54:45.718","      ","601","8","40 07 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","157","20:54:45.719","      ","581","8","80 07 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","158","20:54:45.719","      ","601","8","40 08 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","159","20:54:45.720","      ","581","8","80 08 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","160","20:54:45.720","      ","601","8","40 09 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","161","20:54:45.721","      ","581","8","80 09 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","162","20:54:45.721","      ","601","8","40 0A 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","163","20:54:45.722","      ","581","8","80 0A 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","164","20:54:45.722","      ","601","8","40 0B 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","165","20:54:45.723","      ","581","8","80 0B 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","166","20:54:45.723","      ","601","8","40 0C 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","167","20:54:45.724","      ","581","8","80 0C 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","168","20:54:45.724","      ","601","8","40 0D 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","169","20:54:45.725","      ","581","8","80 0D 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","170","20:54:45.725","      ","601","8","40 0E 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","171","20:54:45.726","      ","581","8","80 0E 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","172","20:54:45.726","      ","601","8","40 0F 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","173","20:54:45.727","      ","581","8","80 0F 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","174","20:54:45.727","      ","601","8","40 10 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","175","20:54:45.728","      ","581","8","80 10 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","176","20:54:45.728","      ","601","8","40 11 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","177","20:54:45.729","      ","581","8","80 11 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","178","20:54:45.729","      ","601","8","40 12 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","179","20:54:45.730","      ","581","8","80 12 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","180","20:54:45.730","      ","601","8","40 13 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","181","20:54:45.731","      ","581","8","80 13 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","182","20:54:45.731","      ","601","8","40 14 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","183","20:54:45.732","      ","581","8","80 14 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","184","20:54:45.732","      ","601","8","40 15 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","185","20:54:45.733","      ","581","8","80 15 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","186","20:54:45.733","      ","601","8","40 16 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","187","20:54:45.734","      ","581","8","80 16 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","188","20:54:45.734","      ","601","8","40 17 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","189","20:54:45.735","      ","581","8","80 17 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","190","20:54:45.735","      ","601","8","40 18 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","191","20:54:45.736","      ","581","8","80 18 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","192","20:54:45.736","      ","601","8","40 19 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","193","20:54:45.737","      ","581","8","80 19 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","194","20:54:45.737","      ","601","8","40 1A 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","195","20:54:45.738","      ","581","8","80 1A 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","196","20:54:45.738","      ","601","8","40 1B 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","197","20:54:45.739","      ","581","8","80 1B 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","198","20:54:45.739","      ","601","8","40 1C 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","199","20:54:45.740","      ","581","8","80 1C 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","200","20:54:45.740","      ","601","8","40 1D 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","201","20:54:45.741","      ","581","8","80 1D 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","202","20:54:45.741","      ","601","8","40 1E 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","203","20:54:45.742","      ","581","8","80 1E 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","204","20:54:45.742","      ","601","8","40 1F 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","205","20:54:45.743","      ","581","8","80 1F 18 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","206","20:54:45.744","      ","602","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","207","20:54:45.945","      ","602","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","208","20:54:45.946","      ","603","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","209","20:54:46.155","      ","603","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","210","20:54:46.156","      ","604","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","211","20:54:46.365","      ","604","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","212","20:54:46.366","      ","605","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","213","20:54:46.575","      ","605","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","214","20:54:46.576","      ","606","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","215","20:54:46.785","      ","606","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","216","20:54:46.786","      ","607","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","217","20:54:46.995","      ","607","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","218","20:54:46.996","      ","608","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","219","20:54:47.205","      ","608","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","220","20:54:47.206","      ","609","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","221","20:54:47.415","      ","609","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","222","20:54:47.416","      ","60A","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","223","20:54:47.625","      ","60A","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","224","20:54:47.626","      ","60B","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","225","20:54:47.835","      ","60B","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","226","20:54:47.836","      ","60C","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","227","20:54:48.045","      ","60C","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","228","20:54:48.046","      ","60D","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","229","20:54:48.255","      ","60D","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","230","20:54:48.256","      ","60E","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","231","20:54:48.465","      ","60E","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","232","20:54:48.466","      ","60F","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","233","20:54:48.675","      ","60F","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","234","20:54:48.676","      ","610","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","235","20:54:48.885","      ","610","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","236","20:54:48.886","      ","611","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","237","20:54:49.095","      ","611","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","238","20:54:49.096","      ","612","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","239","20:54:49.305","      ","612","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","240","20:54:49.306","      ","613","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","241","20:54:49.515","      ","613","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","242","20:54:49.516","      ","614","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","243","20:54:49.725","      ","614","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","244","20:54:49.726","      ","615","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","245","20:54:49.935","      ","615","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","246","20:54:49.936","      ","616","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","247","20:54:50.145","      ","616","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","248","20:54:50.146","      ","617","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","249","20:54:50.355","      ","617","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","250","20:54:50.356","      ","618","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","251","20:54:50.565","      ","618","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","252","20:54:50.566","      ","619","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","253","20:54:50.775","      ","619","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","254","20:54:50.776","      ","61A","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","255","20:54:50.985","      ","61A","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","256","20:54:50.986","      ","61B","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","257","20:54:51.195","      ","61B","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","258","20:54:51.196","      ","61C","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","259","20:54:51.405","      ","61C","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","260","20:54:51.406","      ","61D","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","261","20:54:51.615","      ","61D","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","262","20:54:51.616","      ","61E","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","263","20:54:51.825","      ","61E","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","264","20:54:51.826","      ","61F","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","265","20:54:52.035","      ","61F","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","266","20:54:52.036","      ","620","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","267","20:54:52.245","      ","620","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","268","20:54:52.246","      ","621","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","269","20:54:52.455","      ","621","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","270","20:54:52.456","      ","622","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","271","20:54:52.665","      ","622","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","272","20:54:52.666","      ","623","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","273","20:54:52.875","      ","623","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","274","20:54:52.876","      ","624","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","275","20:54:53.085","      ","624","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","276","20:54:53.086","      ","625","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","277","20:54:53.295","      ","625","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","278","20:54:53.296","      ","626","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","279","20:54:53.505","      ","626","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","280","20:54:53.506","      ","627","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","281","20:54:53.715","      ","627","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","282","20:54:53.716","      ","628","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","283","20:54:53.925","      ","628","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","284","20:54:53.926","      ","629","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","285","20:54:54.135","      ","629","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","286","20:54:54.136","      ","62A","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","287","20:54:54.345","      ","62A","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","288","20:54:54.346","      ","62B","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","289","20:54:54.555","      ","62B","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","290","20:54:54.556","      ","62C","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","291","20:54:54.765","      ","62C","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","292","20:54:54.766","      ","62D","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","293","20:54:54.975","      ","62D","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","294","20:54:54.976","      ","62E","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","295","20:54:55.185","      ","62E","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","296","20:54:55.186","      ","62F","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","297","20:54:55.395","      ","62F","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","298","20:54:55.396","      ","630","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","299","20:54:55.605","      ","630","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","300","20:54:55.606","      ","631","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","301","20:54:55.815","      ","631","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","302","20:54:55.815","      ","632","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","303","20:54:56.025","      ","632","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","304","20:54:56.026","      ","633","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","305","20:54:56.235","      ","633","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","306","20:54:56.236","      ","634","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","307","20:54:56.445","      ","634","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","308","20:54:56.446","      ","635","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","309","20:54:56.655","      ","635","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","310","20:54:56.655","      ","636","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","311","20:54:56.865","      ","636","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","312","20:54:56.865","      ","637","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","313","20:54:57.075","      ","637","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","314","20:54:57.075","      ","638","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","315","20:54:57.285","      ","638","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","316","20:54:57.286","      ","639","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","317","20:54:57.495","      ","639","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","318","20:54:57.495","      ","63A","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","319","20:54:57.705","      ","63A","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","320","20:54:57.705","      ","63B","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","321","20:54:57.915","      ","63B","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","322","20:54:57.915","      ","63C","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","323","20:54:58.125","      ","63C","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","324","20:54:58.125","      ","63D","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","325","20:54:58.335","      ","63D","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","326","20:54:58.335","      ","63E","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","327","20:54:58.545","      ","63E","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","328","20:54:58.545","      ","63F","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","329","20:54:58.755","      ","63F","8","80 00 00 00 00 00 04 05","........"
"USB-to-CAN compact  CAN-1","330","20:54:58.755","      ","640","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","331","20:54:58.965","      ","640","8","80 00 00 00 00 00 04 05","........"
